Trial number,Choice,Confidence,Gain,Orientation data (sin),Orientation data (cos),GT orientation,GT orientation (sin),GT orientation (cos),Contrast data,GT contrast,Sigma_g,Unit_1,Unit_2,Unit_3,Unit_4,Unit_5,Unit_6,Unit_7,Unit_8,Unit_9,Unit_10,Unit_11,Unit_12,Unit_13
57,NaN,NaN,1.5,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.296838081627834,-0.445789980694268,-0.00957370485685393,-0.725961409890656,0.185482353444429,0.877044741967158,0.249318881615758,-0.679857250655807,2.88434890557672,2.43394673459012,3.40568055230924,1.37000459840131,-0.800437359423873
58,NaN,NaN,1.5,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.389046400097531,-0.580555984611518,-0.0663172854535907,-0.704682567166879,0.348620147660047,1.16076264495084,0.323794831148975,-0.672764303081215,2.62900279289141,2.35592431126961,2.57580568608197,0.873498268179862,-0.800437359423873
59,NaN,NaN,1.5,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.331484402472957,-0.583920587948183,0.25486593035999,-0.576645769922961,0.457833353263702,1.18095026497084,0.313791956364293,-0.597742742196106,2.60826956151952,1.50104225808063,0.855765899243382,0.116644387880759,-0.693770340129045
60,NaN,NaN,1.5,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.352275066618725,-0.618073944150808,0.0359704848326323,-0.641965978086276,0.448108070219457,1.1648690882835,0.200228218138975,-0.638979473844342,2.62526966258899,1.55610114397679,1.0842334737513,0.295796353880848,-0.734547609586215
61,NaN,NaN,1.5,NaN,NaN,0,0,1,NaN,1,NaN,-0.408970086170877,-0.616568551768695,0.217515950010981,-0.688536019842605,0.33469375059286,1.00546745943559,0.211979990928372,-0.630408449475216,3.02516986474057,1.27211615524789,0.1649243387262,-0.0768125412143693,-0.741127631127385
62,NaN,NaN,1.5,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.436726769904511,-0.509232456222564,0.200062301236646,-0.707834988311143,0.218976828102225,1.14263622337133,0.234738933823541,-0.663701092291458,2.76298069152259,1.18992254053528,0.572047996259698,-0.0584362325929327,-0.714139830599669
63,NaN,NaN,1.5,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.368300687420211,-0.550028494560087,0.0982576419307358,-0.592308025200793,0.259958302977646,1.13818574646178,0.166498287877138,-0.64645549426696,2.62835376500876,1.20345940780182,0.607095501922388,0.00776461143659337,-0.713954394061771
64,NaN,NaN,1.5,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.28541055497988,-0.430421927615985,0.203214722380909,-0.553366352242248,0.609877049990856,1.3506960188927,0.250501039544856,-0.673158355724248,2.74721858580127,1.33493391317138,0.430189044767856,-0.0458265480158803,-0.688920461445564
65,NaN,NaN,1.5,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.321663398138906,-0.58764893218611,0.352166621447343,-0.559277141887741,0.930241848776599,1.05436843133196,0.263504776764942,-0.562823615675038,2.78504763953243,1.3770975459759,0.376991937958415,-0.0414919689425184,-0.662124881719327
66,NaN,NaN,1.5,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.226415244994384,-0.343144896507671,0.182138535302121,-0.540936806016296,0.512872547923101,1.43698228906996,0.250230832018205,-0.596059141453126,2.75991833955388,1.60234929538045,0.360475502891865,-0.125898045080164,-0.634969025290889
67,NaN,NaN,2,NaN,NaN,-15,-0.258819045102521,0.965925826289068,NaN,1,NaN,-0.358351058007486,-0.692290290944604,0.262567203234967,-0.728814894547101,0.372141014042459,0.591288635657442,0.471279223820665,-0.572280879107827,4.07677937943861,4.66117303707856,6.03867237294417,2.23489579776982,-0.801864101752095
68,NaN,NaN,2,NaN,NaN,-8,-0.139173100960065,0.99026806874157,NaN,1,NaN,-0.104146339184749,-0.302748871273327,0.278872829843225,-0.676310776868511,0.538947574244935,1.46103075894191,0.62406294514004,-0.61483856455538,4.13743631042133,3.53690008243919,4.83254517273135,2.11831056752078,-0.7756120429128
69,NaN,NaN,2,NaN,NaN,-6,-0.104528463267653,0.994521895368273,NaN,1,NaN,-0.227090763811012,-0.482436876496327,0.203214722380909,-0.647938986570143,0.756464633199093,1.83932129625349,0.723364211184329,-0.60538130112259,3.79697482684091,3.43287018467851,3.72604535109498,1.45630212722551,-0.7756120429128
70,NaN,NaN,2,NaN,NaN,-3,-0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.150341433644913,-0.486923014278548,0.63145901013235,-0.477223256911584,0.902082240670633,1.86623812294681,0.710027044804755,-0.505352553275778,3.76933051834506,2.29302744709321,1.43265896864354,0.447163620160042,-0.633389350519697
71,NaN,NaN,2,NaN,NaN,-2,-0.034899496702501,0.999390827019096,NaN,1,NaN,-0.178062319172603,-0.532460822548714,0.339598416095873,-0.564316867796004,0.889115196611639,1.84479655403036,0.558608727170997,-0.560334862140093,3.79199731977102,2.36643929495475,1.73728240132076,0.68603290816016,-0.687759043129256
72,NaN,NaN,2,NaN,NaN,0,0,1,NaN,1,NaN,-0.253655678575473,-0.530453632705896,0.581659036333671,-0.626410256804443,0.737896103776177,1.63226104889981,0.57427775755686,-0.548906829647925,4.32519758930646,1.98779264331622,0.511536887953964,0.189221048033204,-0.69653240518415
73,NaN,NaN,2,NaN,NaN,2,0.034899496702501,0.999390827019096,NaN,1,NaN,-0.290664590220319,-0.387338838644389,0.558387504634558,-0.652142214762494,0.583606873788663,1.81515273414747,0.604623014750417,-0.593297020069581,3.97561202501582,1.87820115703273,1.05436843133196,0.213722792861786,-0.660548671147195
74,NaN,NaN,2,NaN,NaN,3,0.0523359562429438,0.998629534754574,NaN,1,NaN,-0.199429813574585,-0.441733556427753,0.422647958893344,-0.498106263948694,0.638248840289224,1.80921876493474,0.513635486821881,-0.57030288937025,3.79610945633072,1.89625031338812,1.10109843888221,0.301990584901154,-0.660301422429998
75,NaN,NaN,2,NaN,NaN,6,0.104528463267653,0.994521895368273,NaN,1,NaN,-0.0889096369874766,-0.282258133835617,0.562590732826909,-0.446184033337301,1.10480716964017,2.09256579484263,0.625639155712172,-0.605906704646634,3.95459588405406,2.07154965388087,0.865223162676171,0.23053570563119,-0.626922845608388
76,NaN,NaN,2,NaN,NaN,8,0.139173100960065,0.99026806874157,NaN,1,NaN,-0.137246761199512,-0.491894139929117,0.761193264915487,-0.454065086197959,1.53196023468783,1.69746234476164,0.642977472005619,-0.458793717914353,4.00503462236227,2.12776783095356,0.79429368693025,0.236315144395672,-0.591195405973406
77,NaN,NaN,2,NaN,NaN,15,0.258819045102521,0.965925826289068,NaN,1,NaN,-0.0102492236734817,-0.165888759024531,0.534489150055191,-0.429611305036032,0.975467833549831,2.20761415507897,0.62527887900997,-0.503107752285138,3.97152888905753,2.42810349682629,0.772271773508184,0.123773709545477,-0.554987597402155
